,symbol,company,sector,industry,city,state
0,MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul, Minnesota
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago, Illinois
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,North Chicago, Illinois
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,Danvers, Massachusetts
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,Dublin, Ireland
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,Santa Monica, California
6,ADBE,Adobe Systems Inc,Information Technology,Application Software,San Jose, California
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,Sunnyvale, California
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Roanoke, Virginia
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia
10,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,Beverly, Massachusetts
11,AFL,AFLAC Inc,Financials,Life & Health Insurance,Columbus, Georgia
12,A,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara, California
13,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,Allentown, Pennsylvania
14,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts
15,ALK,Alaska Air Group Inc,Industrials,Airlines,Seattle, Washington
16,ALB,Albemarle Corp,Materials,Specialty Chemicals,Baton Rouge, Louisiana
17,ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,Pasadena, California
18,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,Cheshire, Connecticut
19,ALGN,Align Technology,Health Care,Health Care Supplies,San Jose, California
20,ALLE,Allegion,Industrials,Building Products,Dublin, Ireland
21,AGN,"Allergan, Plc",Health Care,Pharmaceuticals,Dublin, Ireland
22,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,Plano, Texas
23,LNT,Alliant Energy Corp,Utilities,Electric Utilities,Madison, Wisconsin
24,ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township, Illinois
25,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,Mountain View, California
26,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,Mountain View, California
27,MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond, Virginia
28,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington
29,AEE,Ameren Corp,Utilities,Multi-Utilities,St. Louis, Missouri
30,AAL,American Airlines Group,Industrials,Airlines,Fort Worth, Texas
31,AEP,American Electric Power,Utilities,Electric Utilities,Columbus, Ohio
32,AXP,American Express Co,Financials,Consumer Finance,New York, New York
33,AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,New York, New York
34,AMT,American Tower Corp.,Real Estate,Specialized REITs,Boston, Massachusetts
35,AWK,American Water Works Company Inc,Utilities,Water Utilities,Voorhees, New Jersey
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota
37,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania
38,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania
39,AMGN,Amgen Inc.,Health Care,Biotechnology,Thousand Oaks, California
40,APH,Amphenol Corp,Information Technology,Electronic Components,Wallingford, Connecticut
41,APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas
42,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,Norwood, Massachusetts
43,ANSS,ANSYS,Information Technology,Application Software,Canonsburg, Pennsylvania
44,ANTM,Anthem Inc.,Health Care,Managed Health Care,Indianapolis, Indiana
45,AON,Aon plc,Financials,Insurance Brokers,London, United Kingdom
46,AOS,A.O. Smith Corp,Industrials,Building Products,Milwaukee, Wisconsin
47,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,Houston, Texas
48,AIV,Apartment Investment & Management (Aimco),Real Estate,Residential REITs,Denver, Colorado
49,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino, California
50,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,Santa Clara, California
51,APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,Gillingham," Kent, United Kingdom"
52,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,Decatur, Illinois
53,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,New York, New York
54,ANET,Arista Networks,Information Technology,Communications Equipment,Santa Clara, California
55,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Itasca, Illinois
56,AIZ,Assurant Inc.,Financials,Multi-line Insurance,New York, New York
57,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,Dallas, Texas
58,ADSK,Autodesk Inc.,Information Technology,Application Software,San Rafael, California
59,ADP,Automatic Data Processing,Information Technology,Internet Software & Services,Roseland, New Jersey
60,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,Memphis, Tennessee
61,AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,Arlington, Virginia[5]
62,AVY,Avery Dennison Corp,Materials,Paper Packaging,Glendale, California
63,BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,Houston, Texas
64,BLL,Ball Corp,Materials,Metal & Glass Containers,Broomfield, Colorado
65,BAC,Bank of America Corp,Financials,Diversified Banks,Charlotte, North Carolina
66,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,New York, New York
67,BAX,Baxter International Inc.,Health Care,Health Care Equipment,Deerfield, Illinois
68,BBT,BB&T Corporation,Financials,Regional Banks,Winston-Salem, North Carolina
69,BDX,Becton Dickinson,Health Care,Health Care Equipment,Franklin Lakes, New Jersey
70,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Omaha, Nebraska
71,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,Richfield, Minnesota
72,BIIB,Biogen Inc.,Health Care,Biotechnology,Weston, Massachusetts
73,BLK,BlackRock,Financials,Asset Management & Custody Banks,New York, New York
74,HRB,Block H&R,Consumer Discretionary,Specialized Consumer Services,Kansas City, Missouri
75,BA,Boeing Company,Industrials,Aerospace & Defense,Chicago, Illinois
